# time_ps  msd_mean_A2  msd_SEM_A2  msd_STD_A2
292.000000 4.04335594e+03 4.30425876e+01 1.21742822e+02
293.000000 4.05728261e+03 4.31107933e+01 1.21935737e+02
294.000000 4.07122923e+03 4.32063482e+01 1.22206007e+02
295.000000 4.08507868e+03 4.33163516e+01 1.22517144e+02
296.000000 4.09890553e+03 4.34168178e+01 1.22801305e+02
297.000000 4.11263520e+03 4.35051266e+01 1.23051080e+02
298.000000 4.12652548e+03 4.36120985e+01 1.23353642e+02
299.000000 4.14035545e+03 4.37221699e+01 1.23664971e+02
300.000000 4.15414360e+03 4.38528413e+01 1.24034566e+02
301.000000 4.16800853e+03 4.39632495e+01 1.24346847e+02
302.000000 4.18181108e+03 4.40837652e+01 1.24687717e+02
303.000000 4.19558343e+03 4.41754399e+01 1.24947012e+02
304.000000 4.20938528e+03 4.42922495e+01 1.25277400e+02
305.000000 4.22314579e+03 4.44294748e+01 1.25665532e+02
306.000000 4.23699736e+03 4.45374344e+01 1.25970887e+02
307.000000 4.25086890e+03 4.46344896e+01 1.26245401e+02
308.000000 4.26467760e+03 4.47730313e+01 1.26637256e+02
309.000000 4.27850658e+03 4.48832226e+01 1.26948924e+02
310.000000 4.29237447e+03 4.50236836e+01 1.27346208e+02
311.000000 4.30612727e+03 4.51439166e+01 1.27686278e+02
312.000000 4.31992633e+03 4.52840475e+01 1.28082628e+02
313.000000 4.33360660e+03 4.54437795e+01 1.28534418e+02
314.000000 4.34732728e+03 4.55754511e+01 1.28906842e+02
315.000000 4.36105855e+03 4.57255813e+01 1.29331475e+02
316.000000 4.37472671e+03 4.58811221e+01 1.29771410e+02
317.000000 4.38837703e+03 4.60202552e+01 1.30164938e+02
318.000000 4.40212190e+03 4.61885595e+01 1.30640975e+02
319.000000 4.41579685e+03 4.63571709e+01 1.31117880e+02
320.000000 4.42943113e+03 4.65379818e+01 1.31629290e+02
321.000000 4.44307707e+03 4.67078020e+01 1.32109614e+02
322.000000 4.45677614e+03 4.69095455e+01 1.32680231e+02
323.000000 4.47042478e+03 4.70800435e+01 1.33162472e+02
324.000000 4.48400103e+03 4.72005531e+01 1.33503325e+02
325.000000 4.49770272e+03 4.73444156e+01 1.33910229e+02
326.000000 4.51134774e+03 4.74781541e+01 1.34288499e+02
327.000000 4.52500542e+03 4.76045116e+01 1.34645892e+02
328.000000 4.53868327e+03 4.77089734e+01 1.34941355e+02
329.000000 4.55230885e+03 4.78568530e+01 1.35359621e+02
330.000000 4.56600390e+03 4.79971889e+01 1.35756551e+02
331.000000 4.57966793e+03 4.81580921e+01 1.36211654e+02
332.000000 4.59333785e+03 4.82845572e+01 1.36569351e+02
333.000000 4.60706216e+03 4.84529966e+01 1.37045770e+02
334.000000 4.62076977e+03 4.86067674e+01 1.37480699e+02
335.000000 4.63443216e+03 4.87554514e+01 1.37901241e+02
336.000000 4.64804078e+03 4.89288426e+01 1.38391666e+02
337.000000 4.66172367e+03 4.90611630e+01 1.38765924e+02
338.000000 4.67539332e+03 4.92171688e+01 1.39207175e+02
339.000000 4.68907113e+03 4.93728333e+01 1.39647461e+02
340.000000 4.70267414e+03 4.95286927e+01 1.40088298e+02
341.000000 4.71633788e+03 4.96575983e+01 1.40452898e+02
342.000000 4.72998227e+03 4.97847552e+01 1.40812552e+02
343.000000 4.74359846e+03 4.99449910e+01 1.41265767e+02
344.000000 4.75735319e+03 5.00827075e+01 1.41655288e+02
345.000000 4.77104277e+03 5.02444821e+01 1.42112856e+02
346.000000 4.78473293e+03 5.04285086e+01 1.42633362e+02
347.000000 4.79836541e+03 5.06070680e+01 1.43138404e+02
348.000000 4.81196636e+03 5.07954391e+01 1.43671198e+02
349.000000 4.82557658e+03 5.10134220e+01 1.44287746e+02
